HS (Analog),L (Lux),T (°),CO2 (Analog),HR (%),clase
713,1.23,16.2,76,96.8,3
717,2.5,16.2,75,96.5,3
717,562.07.00,16.1,78,96.7,3
716,640,15.9,79,96.5,3
718,568.33.00,16.1,79,96.6,3
712,936.23.00,16.4,80,96.1,3
717,972.07.00,16.2,80,96.5,3
716,675,16.2,81,96.9,3
712,835,16.2,84,96.9,3
703,835,16.8,85,94.7,3
713,336.23.00,16.3,90,95.3,3
717,420,16.3,91,95.9,3
716,380,16.4,90,95.2,3
787,2357.5,22.7,157,73,3
788,2334.17.00,23.1,158,72,3
788,2420,23.4,154,69.3,3
788,2578.33.00,23.8,156,69,3
787,2683.33.00,24.4,156,71.3,3
785,2875,25.2,159,76,3
787,47788.33.00,26.2,159,75.5,3
787,54612.5,26.6,158,66.8,3
786,54612.5,27.4,159,67.5,3
786,54612.5,28,160,66.2,3
786,54612.5,28.9,160,70.6,3
786,54612.5,29.3,158,62.3,3
786,54612.5,29.7,159,62.4,3
786,54612.5,30.4,159,70.4,3
787,54612.5,31,159,65.6,3
794,4917.5,31.1,150,61.1,3
792,3804.17.00,29.9,157,59.4,3
793,54612.5,29.1,159,62.5,3
800,11343.33.00,29.7,159,60.3,3
798,3617.5,29.3,154,58.8,3
801,54612.5,29,159,61.8,3
807,54612.5,29.6,157,62.1,3
812,54612.5,30,158,59.3,3
820,7863.33.00,29.8,157,59.5,3
821,3277.07.00,28.8,156,61.8,3
766,1668.33.00,23.5,150,76.4,3
766,1347.07.00,23.2,151,76.4,3
763,1319.17.00,23,149,76.9,3
758,1985,22.9,152,78.5,3
759,1193.33.00,22.7,151,80.2,3
760,1225,22.8,152,82,3
763,1222.5,23,156,80.9,3
762,2109.17.00,23,158,79.6,3
762,1996.23.00,23.1,162,80.2,3
763,1860,23.3,162,79.1,3
772,1632.5,22.7,152,82.4,3
773,1547.07.00,22.8,152,83.1,3
773,2313.33.00,22.7,149,82.1,3
769,2686.23.00,22.6,150,83.9,3
774,2022.07.00,22.5,137,84.2,3
775,1377.5,22.3,147,85.1,3
774,1564.17.00,22.1,147,84.9,3
775,1881.23.00,22,148,85.5,3
776,1542.07.00,21.9,147,86.5,3
776,982.5,21.9,149,86.7,3
776,748.33.00,21.8,148,86.5,3
775,723.33.00,21.7,149,87.5,3
772,866.23.00,21.6,149,87.2,3
776,901.23.00,21.7,149,88.9,3
776,931.23.00,21.7,137,88.4,3
774,956.23.00,21.8,150,88,3
774,1159.17.00,21.7,150,87,3
775,824.17.00,21.8,150,87.5,3
